[15/08/2025 15:11:30 - INFO] Discord Presence activated
[15/08/2025 15:11:30 - INFO] Creating discord-rpc client
[15/08/2025 15:11:30 - INFO] Successfully connected to Discord
[15/08/2025 15:11:30 - DEBUG] Loading git extension
[15/08/2025 15:11:32 - TRACE] VSCode language id: markdown
[15/08/2025 15:11:34 - TRACE] VSCode language id: markdown
[15/08/2025 15:11:36 - TRACE] VSCode language id: markdown
[15/08/2025 15:12:47 - TRACE] VSCode language id: markdown
[15/08/2025 15:12:49 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:05 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:07 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:07 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:09 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:13 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:15 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:18 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:20 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:22 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:24 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:29 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:31 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:33 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:47 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:49 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:51 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:53 - TRACE] VSCode language id: markdown
[15/08/2025 15:13:55 - TRACE] VSCode language id: markdown
[15/08/2025 15:14:12 - TRACE] VSCode language id: markdown
[15/08/2025 15:14:14 - TRACE] VSCode language id: markdown
[15/08/2025 15:15:07 - TRACE] VSCode language id: markdown
